PeriodoNum;Administradora;CantidadPacientes
201501;0 - NO DEFINIDO;1
201502;0 - NO DEFINIDO;3
201503;0 - NO DEFINIDO;2
201504;0 - NO DEFINIDO;1
201505;0 - NO DEFINIDO;2
201501;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;13
201502;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;2
201503;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;1
201504;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201505;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201506;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201507;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;1
201508;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;9
201509;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;3
201512;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201503;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201507;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201508;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201509;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201512;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201505;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;1
201502;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201504;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201501;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201505;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201507;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201501;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201502;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201503;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;10
201504;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;8
201505;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201506;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;13
201507;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;14
