PeriodoNum;Administradora;CantidadPacientes
201901;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201902;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201903;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201904;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201905;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;2
201906;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;1
201911;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;2
201912;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201901;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201902;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201904;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201909;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201910;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201911;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201908;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;1
201903;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201904;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201905;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201909;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201910;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201911;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;4
201912;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;2
201902;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201908;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201909;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;2
201910;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201911;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201911;05615 - DIRECCION MUNICIPAL DE SALUD DE RIONEGRO;1
201901;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;2
201902;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201908;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201911;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201901;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;13
201902;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
201903;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201904;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
201905;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;14
201906;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;18
201907;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;26
201908;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;25
201909;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;19
201910;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;16
201911;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;23
201912;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;16
201901;13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ;1
201904;13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ;1
201905;13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ;4
201906;13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ;4
201907;13000 - DIRECCIÓN DEPARTAMENTAL DE SALUD DE BOLÍ;2
201901;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201902;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201906;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201907;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201908;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201910;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201901;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;2
201902;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;3
201903;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;2
