PeriodoNum;Procedimiento;CantidadPacientes
201710;010102 - PUNCIÓN CISTERNAL, VÍA MEDIAL;1
201701;010103 - PUNCIÓN CISTERNAL;1
201708;010201 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;1
201710;010201 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;1
201710;010202 - PUNCIÓN [ASPIRACION DE LÍQUIDO] VENTRICULAR POR TREPANACION (SIN CATETER);2
201705;011304 - BIOPSIA ESTEREOTAXICA DE CEREBRO INCLUYE: AQUELLA  POR TUMORES SUPRATENTORIALES HEMISFERICOS, INTRACEREBELOSOS, TUMORES DE LINEA MEDIA SUPRATENTORIALES E INFRATENTORIALES, LESIONES EN TRONCO CEREBRAL (EXTRA AXIALES E INTRA AXIALES), LESIONES VENTRICULARES;1
201707;011304 - BIOPSIA ESTEREOTAXICA DE CEREBRO INCLUYE: AQUELLA  POR TUMORES SUPRATENTORIALES HEMISFERICOS, INTRACEREBELOSOS, TUMORES DE LINEA MEDIA SUPRATENTORIALES E INFRATENTORIALES, LESIONES EN TRONCO CEREBRAL (EXTRA AXIALES E INTRA AXIALES), LESIONES VENTRICULARES;1
201711;012100 - INCISIÓN Y DRENAJE DE SENO FRONTAL SOD §;1
201703;012101 - CRANEALIZACION DE SENO FRONTAL;1
201704;012101 - CRANEALIZACION DE SENO FRONTAL;1
201712;012101 - CRANEALIZACION DE SENO FRONTAL;1
201712;012102 - INCISIÓN Y DRENAJE DE SENO FRONTAL;1
201710;012200 - EXTRACCIÓN DE NEUROESTIMULADOR INTRACRANEAL SOD +;1
201709;012400 - CRANEOTOMIA (DESCOMPRESIVA/EXPLORATORIA) SOD §;1
201702;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;1
201703;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;4
201704;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;1
201705;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201706;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201707;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;2
201708;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;1
201709;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201710;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;3
201711;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;2
201712;012401 - DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA;2
201703;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;1
201709;012402 - DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA;1
201702;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201704;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201708;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);2
201709;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201710;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);1
201711;012403 - CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA);2
201703;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201705;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201706;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201710;012410 - EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMIA SimultAneo: CUALQUIER ESQUIRLECTOMIA (02.0.2);1
201702;012501 - SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA INCLUYE: DESBRIDAMIENTO O CURETAJE (LIMPIEZA) CRANEAL;1
201711;012501 - SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA INCLUYE: DESBRIDAMIENTO O CURETAJE (LIMPIEZA) CRANEAL;1
201702;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201704;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;1
201705;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201706;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;3
201707;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;1
201708;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;3
201709;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201710;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201711;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;2
201712;012502 - DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA +;4
201704;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;2
201707;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;2
201710;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;2
201712;012503 - DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA +;3
201706;012504 - CRANIECTOMÍA;1
201708;012504 - CRANIECTOMÍA;2
201711;012504 - CRANIECTOMÍA;1
201712;012504 - CRANIECTOMÍA;1
201702;013100 - INCISIÓN DE MENINGES CEREBRALES SOD §;1
201701;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;6
201702;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;9
201703;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;8
201704;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;10
201705;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;12
201706;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;7
201707;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;13
201708;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;9
201709;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;10
201710;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;15
201711;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;15
201712;013101 - DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMIA;11
201701;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;3
201702;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;4
201703;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;2
201704;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;1
201705;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;1
201707;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;4
201708;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;4
201709;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;1
201710;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;3
201711;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;6
201712;013102 - DRENAJE DE ESPACIO SUBDURAL, POR TREPANACION;2
201707;013103 - DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA;3
201708;013103 - DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA;1
201710;013103 - DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA;2
201701;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;1
201703;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;2
201704;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;1
201705;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;3
201706;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;2
201707;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;1
201708;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;4
201710;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;1
201711;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;5
201712;013104 - DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO;2
201706;013106 - DRENAJE DE ESPACIO SUBDURAL, POR DERIVACIÓN SUBDURO PERITONEAL;1
201704;013107 - INCISIÓN DE MENINGES CEREBRALES;1
201708;013107 - INCISIÓN DE MENINGES CEREBRALES;1
201701;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;3
201702;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;3
201703;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;5
201704;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;4
201705;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;2
201706;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;7
201707;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;5
201708;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;6
201709;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;1
201710;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;7
201711;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;10
201712;013110 - DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;6
201706;015104 - CORRECCIÓN DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA +;2
201707;015104 - CORRECCIÓN DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA +;1
201703;015302 - RESECCIÓN DE TUMOR DE LA BASE DEL CRANEO, FOSA MEDIA, POR ABORDAJE TRANSMAXILAR +;1
201709;015312 - RESECCIÓN DE TUMORES DE LA BASE DEL CRÁNEO, FOSA MEDIA;1
201706;015401 - RESECCIÓN DE TUMOR DE LA BASE DEL CRANEO, FOSA POSTERIOR, VÍA EXTREMO LATERAL +;1
201707;015501 - TOMA DE INJERTO ÓSEO  DE CRANEO;1
201706;016301 - RESECCIÓN TUMOR DEL TENTORIO, POR CRANEOTOMIA +;1
201708;016400 - RESECCIÓN DE OTRA LESIÓN DE MENINGE CEREBRAL SOD §;1
201712;016400 - RESECCIÓN DE OTRA LESIÓN DE MENINGE CEREBRAL SOD §;1
201711;016401 - DRENAJE DE QUISTE ARACNOIDEO GUIADO POR ESTEREOTAXIA;1
201701;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;10
201702;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;11
201703;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;14
201704;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;12
201705;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;16
201706;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;16
201707;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;33
201708;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;33
201709;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;18
201710;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;22
201711;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;19
201712;017001 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR CRANEOTOMIA;25
201703;017003 - DRENAJE DE COLECCIONES INTRACEREBRALES, POR PUNCIÓN DIRIGIDA;1
201703;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;1
201704;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;2
201705;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;2
201706;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;3
201708;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;2
201709;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;3
201710;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;2
201711;017004 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, POR CRANEOTOMIA SUBOCCIPITAL;3
201709;017005 - DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR, GUIADO POR ESTEREOTAXIA;1
201706;017006 - DRENAJE DE COLECCIONES INTRACEREBRALES;1
201710;017006 - DRENAJE DE COLECCIONES INTRACEREBRALES;1
201707;017201 - RESECCIÓN DE TUMOR SUPRATENTORIAL HEMISFERICO, POR CRANEOTOMIA +;1
201708;017209 - DRENAJE DE QUISTE TUMORAL SUPRATENTORIAL;1
201709;017301 - RESECCIÓN TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL +;1
201712;017301 - RESECCIÓN TUMOR INTRACEREBELOSO, POR CRANEOTOMIA SUBOCCIPITAL +;1
201708;017401 - RESECCIÓN DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA +;2
201709;017401 - RESECCIÓN DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA +;1
201710;017401 - RESECCIÓN DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA +;1
201711;017401 - RESECCIÓN DE TUMOR DE LINEA MEDIA SUPRATENTORIAL, POR CRANEOTOMIA +;1
201710;017501 - RESECCIÓN DE TUMOR DE LINEA MEDIA INFRATENTORIAL, EXTRA AXIAL, POR CRANEOTOMIA SUBOCCIPITAL +;2
201710;017504 - RESECCIÓN DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL (EXTRA AXIALES), POR CRANEOTOMIA SUBOCCIPITAL +;1
201711;017508 - RESECCIÓN DE LESIONES SOLIDAS O QUISTICAS INTRAAXIALES (TRONCO CEREBRAL), POR CRANEOTOMIA SUBOCCIPITAL +;1
201702;017601 - RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA;1
201707;017601 - RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA;1
201708;017601 - RESECCIÓN DE LESIONES VENTRICULARES SUPRATENTORIALES, POR CRANEOTOMIA;1
201704;017701 - RESECCIÓN DE LESIONES VENTRICULARES INFRATENTORIALES, POR CRANEOTOMIA SUBOCCIPITAL;1
201703;017801 - RESECCIÓN DE LESIONES INTRAVENTICULARES DE LINEA MEDIA, POR CRANEOTOMIA;2
201703;017805 - DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR;1
201709;017805 - DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR;1
201711;017805 - DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR;1
201708;018101 - HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA;1
201709;018101 - HEMISFERECTOMIA CEREBRAL POR CRANEOTOMIA;1
201708;018201 - HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL;2
201710;018201 - HEMISFERECTOMIA CEREBELOSA POR CRANEOTOMIA SUBOCCIPITAL;1
201704;019100 - LOBECTOMIA POR CRANEOTOMIA SOD +;2
201706;019100 - LOBECTOMIA POR CRANEOTOMIA SOD +;3
201710;019100 - LOBECTOMIA POR CRANEOTOMIA SOD +;3
201711;019100 - LOBECTOMIA POR CRANEOTOMIA SOD +;2
201707;019101 - LOBECTOMÍA POR CRANEOTOMÍA;1
201702;019200 - LOBECTOMIA POR CRANIECTOMIA SOD +;3
201703;019200 - LOBECTOMIA POR CRANIECTOMIA SOD +;1
201708;019200 - LOBECTOMIA POR CRANIECTOMIA SOD +;2
201712;019200 - LOBECTOMIA POR CRANIECTOMIA SOD +;1
201707;019201 - LOBECTOMÍA POR CRANIECTOMÍA;1
201709;019201 - LOBECTOMÍA POR CRANIECTOMÍA;1
