PeriodoNum;Sexo;CantidadPacientes
201801;FEMENINO;1015
201801;MASCULINO;1003
201802;FEMENINO;1070
201802;MASCULINO;1086
201802;NR - NO REPORTADO;1
201803;FEMENINO;1104
201803;MASCULINO;1142
201804;FEMENINO;1163
201804;MASCULINO;1186
201805;FEMENINO;1207
201805;MASCULINO;1147
201806;FEMENINO;1020
201806;MASCULINO;1002
201807;FEMENINO;972
201807;MASCULINO;983
201808;FEMENINO;1096
201808;MASCULINO;1029
201809;FEMENINO;1207
201809;MASCULINO;1139
201810;FEMENINO;1381
201810;MASCULINO;1410
201811;FEMENINO;1389
201811;MASCULINO;1493
201812;FEMENINO;1237
201812;MASCULINO;1273
