PeriodoNum;Sexo;CantidadPacientes
201001;FEMENINO;437
201001;MASCULINO;471
201001;NR - NO REPORTADO;1
201002;FEMENINO;477
201002;MASCULINO;470
201003;FEMENINO;511
201003;MASCULINO;497
201003;NR - NO REPORTADO;2
201004;FEMENINO;560
201004;MASCULINO;523
201005;FEMENINO;540
201005;MASCULINO;535
201005;NR - NO REPORTADO;1
201006;FEMENINO;528
201006;MASCULINO;524
201006;NR - NO REPORTADO;2
201007;FEMENINO;539
201007;MASCULINO;533
201007;NR - NO REPORTADO;1
201008;FEMENINO;506
201008;MASCULINO;465
201008;NR - NO REPORTADO;2
201009;FEMENINO;551
201009;MASCULINO;455
201010;FEMENINO;449
201010;MASCULINO;383
201011;FEMENINO;369
201011;MASCULINO;365
201012;FEMENINO;352
201012;MASCULINO;349
201012;NR - NO REPORTADO;1
