PeriodoNum;Sexo;CantidadPacientes
201201;FEMENINO;814
201201;MASCULINO;802
201202;FEMENINO;742
201202;MASCULINO;741
201203;FEMENINO;732
201203;MASCULINO;748
201203;NR - NO REPORTADO;1
201204;FEMENINO;703
201204;MASCULINO;690
201204;NR - NO REPORTADO;1
201205;FEMENINO;796
201205;MASCULINO;807
201205;NR - NO REPORTADO;1
201206;FEMENINO;629
201206;MASCULINO;643
201207;FEMENINO;648
201207;MASCULINO;710
201208;FEMENINO;698
201208;MASCULINO;676
201208;NR - NO REPORTADO;1
201209;FEMENINO;670
201209;MASCULINO;737
201210;FEMENINO;795
201210;MASCULINO;760
201211;FEMENINO;642
201211;MASCULINO;658
201212;FEMENINO;687
201212;MASCULINO;676
201212;NR - NO REPORTADO;2
