PeriodoNum;Sexo;CantidadPacientes
201601;FEMENINO;676
201601;MASCULINO;793
201602;FEMENINO;702
201602;MASCULINO;719
201603;FEMENINO;681
201603;MASCULINO;680
201604;FEMENINO;868
201604;MASCULINO;864
201604;NR - NO REPORTADO;1
201605;FEMENINO;746
201605;MASCULINO;703
201606;FEMENINO;645
201606;MASCULINO;596
201607;FEMENINO;626
201607;MASCULINO;628
201608;FEMENINO;742
201608;MASCULINO;757
201608;NR - NO REPORTADO;1
201609;FEMENINO;796
201609;MASCULINO;771
201610;FEMENINO;744
201610;MASCULINO;675
201611;FEMENINO;688
201611;MASCULINO;608
201612;FEMENINO;629
201612;MASCULINO;591
