PeriodoNum;Sexo;CantidadPacientes
201501;FEMENINO;1128
201501;MASCULINO;1141
201501;NR - NO REPORTADO;1
201502;FEMENINO;723
201502;MASCULINO;754
201503;FEMENINO;1028
201503;MASCULINO;1021
201504;FEMENINO;1101
201504;MASCULINO;1097
201505;FEMENINO;1008
201505;MASCULINO;1081
201506;FEMENINO;912
201506;MASCULINO;945
201507;FEMENINO;1022
201507;MASCULINO;973
201508;FEMENINO;720
201508;MASCULINO;727
201508;NR - NO REPORTADO;1
201509;FEMENINO;649
201509;MASCULINO;693
201510;FEMENINO;559
201510;MASCULINO;502
201511;FEMENINO;571
201511;MASCULINO;572
201512;FEMENINO;651
201512;MASCULINO;659
