PeriodoNum;Sexo;CantidadPacientes
202001;FEMENINO;2864
202001;MASCULINO;2473
202001;NR - NO REPORTADO;3
202002;FEMENINO;2195
202002;MASCULINO;1922
202003;FEMENINO;1393
202003;MASCULINO;1407
202004;FEMENINO;1189
202004;MASCULINO;1037
202005;FEMENINO;1296
202005;MASCULINO;1149
202005;NR - NO REPORTADO;2
202006;FEMENINO;1403
202006;MASCULINO;1272
202007;FEMENINO;937
202007;MASCULINO;973
202007;NR - NO REPORTADO;1
202008;FEMENINO;1093
202008;MASCULINO;1195
202008;NR - NO REPORTADO;1
202009;FEMENINO;1466
202009;MASCULINO;1524
202010;FEMENINO;1390
202010;MASCULINO;1476
202011;FEMENINO;1238
202011;MASCULINO;1284
202011;NR - NO REPORTADO;1
202012;FEMENINO;929
202012;MASCULINO;931
202012;NR - NO REPORTADO;2
