PeriodoNum;Sexo;CantidadPacientes
201401;FEMENINO;753
201401;MASCULINO;775
201401;NR - NO REPORTADO;1
201402;FEMENINO;811
201402;MASCULINO;814
201403;FEMENINO;874
201403;MASCULINO;835
201404;FEMENINO;841
201404;MASCULINO;864
201404;NR - NO REPORTADO;1
201405;FEMENINO;906
201405;MASCULINO;928
201406;FEMENINO;844
201406;MASCULINO;879
201407;FEMENINO;1029
201407;MASCULINO;997
201408;FEMENINO;984
201408;MASCULINO;1040
201408;NR - NO REPORTADO;1
201409;FEMENINO;1014
201409;MASCULINO;1033
201410;FEMENINO;999
201410;MASCULINO;1020
201411;FEMENINO;956
201411;MASCULINO;1024
201412;FEMENINO;1009
201412;MASCULINO;1020
201412;NR - NO REPORTADO;2
