PeriodoNum;Sexo;CantidadPacientes
201301;FEMENINO;739
201301;MASCULINO;778
201301;NR - NO REPORTADO;1
201302;FEMENINO;676
201302;MASCULINO;722
201302;NR - NO REPORTADO;1
201303;FEMENINO;628
201303;MASCULINO;721
201303;NR - NO REPORTADO;1
201304;FEMENINO;692
201304;MASCULINO;691
201305;FEMENINO;637
201305;MASCULINO;591
201306;FEMENINO;603
201306;MASCULINO;618
201307;FEMENINO;758
201307;MASCULINO;812
201308;FEMENINO;827
201308;MASCULINO;832
201309;FEMENINO;831
201309;MASCULINO;916
201309;NR - NO REPORTADO;1
201310;FEMENINO;836
201310;MASCULINO;849
201310;NR - NO REPORTADO;2
201311;FEMENINO;700
201311;MASCULINO;690
201311;NR - NO REPORTADO;1
201312;FEMENINO;643
201312;MASCULINO;693
201312;NR - NO REPORTADO;1
