PeriodoNum;Sexo;CantidadPacientes
201101;FEMENINO;697
201101;MASCULINO;661
201101;NR - NO REPORTADO;3
201102;FEMENINO;700
201102;MASCULINO;702
201103;FEMENINO;708
201103;MASCULINO;697
201103;NR - NO REPORTADO;3
201104;FEMENINO;494
201104;MASCULINO;484
201105;FEMENINO;724
201105;MASCULINO;695
201106;FEMENINO;686
201106;MASCULINO;675
201107;FEMENINO;663
201107;MASCULINO;631
201107;NR - NO REPORTADO;1
201108;FEMENINO;680
201108;MASCULINO;674
201109;FEMENINO;699
201109;MASCULINO;653
201109;NR - NO REPORTADO;1
201110;FEMENINO;551
201110;MASCULINO;504
201111;FEMENINO;616
201111;MASCULINO;557
201112;FEMENINO;592
201112;MASCULINO;612
