PeriodoNum;Sexo;CantidadPacientes
201901;FEMENINO;1394
201901;MASCULINO;1422
201902;FEMENINO;1512
201902;MASCULINO;1478
201903;FEMENINO;1601
201903;MASCULINO;1628
201904;FEMENINO;1683
201904;MASCULINO;1686
201905;FEMENINO;1696
201905;MASCULINO;1685
201905;NR - NO REPORTADO;2
201906;FEMENINO;1626
201906;MASCULINO;1604
201906;NR - NO REPORTADO;1
201907;FEMENINO;2207
201907;MASCULINO;1952
201907;NR - NO REPORTADO;1
201908;FEMENINO;2102
201908;MASCULINO;1984
201909;FEMENINO;2437
201909;MASCULINO;2093
201910;FEMENINO;2198
201910;MASCULINO;1982
201910;NR - NO REPORTADO;2
201911;FEMENINO;1831
201911;MASCULINO;1810
201911;NR - NO REPORTADO;2
201912;FEMENINO;1904
201912;MASCULINO;1706
