PeriodoNum;Prestadores_basicos;CantidadPacientes
201301;0 - NO DEFINIDO;36
201302;0 - NO DEFINIDO;24
201303;0 - NO DEFINIDO;29
201304;0 - NO DEFINIDO;35
201305;0 - NO DEFINIDO;27
201306;0 - NO DEFINIDO;24
201307;0 - NO DEFINIDO;30
201308;0 - NO DEFINIDO;32
201309;0 - NO DEFINIDO;15
201310;0 - NO DEFINIDO;42
201311;0 - NO DEFINIDO;15
201312;0 - NO DEFINIDO;26
201304;050010001201 - INSTITUTO DEL CORAZON;1
201310;050010001201 - INSTITUTO DEL CORAZON;1
201302;050010016701 - REHABILITAMOS S.A.S;1
201303;050010016701 - REHABILITAMOS S.A.S;1
201303;050010049601 - REUMATOLOGYA S A;1
201310;050010049601 - REUMATOLOGYA S A;1
201302;050010049801 - FRANCISCO  URIBE TAUTIVA;1
201303;050010049801 - FRANCISCO  URIBE TAUTIVA;3
201304;050010049801 - FRANCISCO  URIBE TAUTIVA;4
201305;050010049801 - FRANCISCO  URIBE TAUTIVA;2
201306;050010049801 - FRANCISCO  URIBE TAUTIVA;1
201301;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201302;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201303;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;3
201306;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201307;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;4
201308;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201310;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;4
201311;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;3
201312;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201303;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201304;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201311;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201301;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;29
201302;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;25
201303;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;22
201304;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;28
201305;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;29
201306;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;11
201307;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;35
201308;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;49
201309;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;72
201310;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;78
201311;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;44
201312;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;42
201304;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;1
201305;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;7
201306;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;4
201307;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;3
201302;050010118801 - CLINICA DE OTORRINOLARINGOLOGÍA DE ANTIOQUIA S.A - ORLANT SA;1
201303;050010118801 - CLINICA DE OTORRINOLARINGOLOGÍA DE ANTIOQUIA S.A - ORLANT SA;1
201304;050010149801 - CLINICA DE OFTALMOLOGIA SANDIEGO S.A;1
201302;050010153901 - INSTITUTO DEL TORAX S.A.S;1
201303;050010153901 - INSTITUTO DEL TORAX S.A.S;2
201304;050010153901 - INSTITUTO DEL TORAX S.A.S;1
201305;050010153901 - INSTITUTO DEL TORAX S.A.S;2
201309;050010153901 - INSTITUTO DEL TORAX S.A.S;1
201311;050010161501 - SANTA LUCIA POBLADO;1
201306;050010177401 - JORGE WILLIAM GONZALEZ GONZALEZ;2
201310;0500102092 - COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN;1
201311;0500102092 - COMUNIDAD DE HERMANAS DOMINICAS DE LA PRESENTACION DE LA SANTISIMA VIRGEN DE TOURS PROVINCIA DE MEDELLIN;1
201301;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;2
201302;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;3
201303;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;5
201305;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;7
201306;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;5
201307;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;7
201308;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;5
201309;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;3
201310;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;4
201311;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;7
201312;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;10
201311;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;1
201312;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;2
201301;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;3
201302;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;1
