PeriodoNum;Prestadores_basicos;CantidadPacientes
201201;0 - NO DEFINIDO;21
201202;0 - NO DEFINIDO;14
201203;0 - NO DEFINIDO;19
201204;0 - NO DEFINIDO;27
201205;0 - NO DEFINIDO;25
201206;0 - NO DEFINIDO;11
201207;0 - NO DEFINIDO;26
201208;0 - NO DEFINIDO;20
201209;0 - NO DEFINIDO;15
201210;0 - NO DEFINIDO;14
201211;0 - NO DEFINIDO;25
201212;0 - NO DEFINIDO;15
201210;0500100012 - INSTITUTO DEL CORAZON S.A.S;1
201202;050010001201 - INSTITUTO DEL CORAZON;1
201203;050010001201 - INSTITUTO DEL CORAZON;2
201209;050010010401 - RAMIRO DE SAN FELIPE CASTRILLON GAVIRIA;1
201207;0500100121 - FRANCISCO JAVIER  MONSALVE;1
201205;050010016701 - REHABILITAMOS S.A.S;1
201207;050010016701 - REHABILITAMOS S.A.S;1
201209;050010016701 - REHABILITAMOS S.A.S;2
201211;050010016701 - REHABILITAMOS S.A.S;2
201212;050010016701 - REHABILITAMOS S.A.S;1
201212;050010025201 - UROCLIN LIMITADA;1
201210;050010028502 - MARIA PATRICIA BOHORQUEZ CORTAZAR;1
201211;050010033501 - LUIS FERNANDO CADAVID VERGARA;1
201210;050010045501 - GUSTAVO ADOLFO VELEZ RAMIREZ;1
201210;050010046601 - HECTOR JAVIER CORTES MOLINA;1
201205;050010049601 - REUMATOLOGYA S A;1
201211;050010049801 - FRANCISCO  URIBE TAUTIVA;1
201212;050010049801 - FRANCISCO  URIBE TAUTIVA;1
201204;050010065814 - COMFAMA LA 80;1
201202;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201204;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201205;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201206;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201209;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201210;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;6
201211;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201212;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;8
201208;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201210;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201201;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;38
201202;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;50
