PeriodoNum;Prestadores_basicos;CantidadPacientes
202102;0 - NO DEFINIDO;58
202103;0 - NO DEFINIDO;60
202104;0 - NO DEFINIDO;62
202105;0 - NO DEFINIDO;61
202106;0 - NO DEFINIDO;73
202107;0 - NO DEFINIDO;78
202108;0 - NO DEFINIDO;3
202109;0 - NO DEFINIDO;31
202110;0 - NO DEFINIDO;31
202111;0 - NO DEFINIDO;75
202112;0 - NO DEFINIDO;4
202101;050010001201 - INSTITUTO DEL CORAZON;1
202103;050010001201 - INSTITUTO DEL CORAZON;5
202104;050010001201 - INSTITUTO DEL CORAZON;1
202105;050010001201 - INSTITUTO DEL CORAZON;3
202106;050010001201 - INSTITUTO DEL CORAZON;1
202107;050010001201 - INSTITUTO DEL CORAZON;1
202108;050010001201 - INSTITUTO DEL CORAZON;1
202109;050010001201 - INSTITUTO DEL CORAZON;5
202110;050010001201 - INSTITUTO DEL CORAZON;2
202111;050010001201 - INSTITUTO DEL CORAZON;1
202105;050010001204 - INSTITUTO DEL CORAZÓN POBLADO;1
202107;050010025204 - UROCLIN PRADO;1
202109;050010025204 - UROCLIN PRADO;2
202103;050010029401 - Carlos Alberto Guerra Mesa;1
202103;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;10
202104;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;4
202108;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;4
202110;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;5
202109;050010031701 - Eduardo  Perez Pinilla;1
202102;050010031801 - LUIS VICENTE SYRO MORENO;1
202104;050010031801 - LUIS VICENTE SYRO MORENO;1
202105;050010031801 - LUIS VICENTE SYRO MORENO;1
202105;050010046501 - AMPARO DEL CARMEN OCHOA BRAVO;1
202102;050010063001 - SERGIO RODRIGO ANGEL BEDOYA;1
202104;050010099001 - MARIA CLARA LOPERA CALDERON;1
202104;050010102801 - CARLOS JAIME YEPES SANCHEZ;1
202102;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
202107;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
202108;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
202101;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;20
202102;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;26
202103;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;22
202104;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;29
202105;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;34
202106;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;45
202107;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;46
202108;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;43
202109;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;34
202110;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;42
202111;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;40
202112;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;40
202101;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;6
202102;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;7
202103;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;15
202104;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;11
202105;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;10
202106;050010115002 - FUNDACION INSTITUTO NEUROLOGICO DE ANTIOQUIA SEDE URABA;12
