PeriodoNum;Prestadores_basicos;CantidadPacientes
202202;0 - NO DEFINIDO;80
202204;0 - NO DEFINIDO;60
202205;0 - NO DEFINIDO;1
202206;0 - NO DEFINIDO;79
202205;050010001201 - INSTITUTO DEL CORAZON;1
202205;050010001204 - INSTITUTO DEL CORAZÓN POBLADO;1
202205;050010001205 - Instituto del Corazon Monterrey 1;1
202206;050010001205 - Instituto del Corazon Monterrey 1;1
202201;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;4
202202;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;8
202204;050010030201 - EMPRESA DE MEDICINA INTEGRAL EMI S.A.S. SERVICIO DE AMBULANCIA PREPAGADA SIGLA GRUPO EMI S.A.S.;2
202204;050010096701 - IGNACIO ALBERTO GONZALEZ BORRERO;1
202201;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;41
202202;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;15
202203;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;31
202204;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;8
202205;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;67
202206;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;19
202201;050010119805 - PRODIAGNOSTICO LAS VEGAS;2
202202;050010119805 - PRODIAGNOSTICO LAS VEGAS;1
202203;050010119805 - PRODIAGNOSTICO LAS VEGAS;1
202204;050010119805 - PRODIAGNOSTICO LAS VEGAS;2
202205;050010119805 - PRODIAGNOSTICO LAS VEGAS;4
202201;050010153301 - CENTRO MEDICO NUEVA VIDA LIMITADA;1
202203;050010153901 - INSTITUTO DEL TORAX S.A.S;1
202201;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;1
202202;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;2
202204;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;1
202205;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;1
202206;050010209201 - CLINICA EL ROSARIO SEDE CENTRO;1
202201;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;4
202202;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;4
202203;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;3
202204;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;5
202205;050010209202 - CLINICA EL ROSARIO SEDE EL TESORO;1
202201;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;3
202203;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;3
202204;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;2
202205;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;7
202206;050010210101 - SOCIEDAD MEDICA ANTIOQUEÑA S.A. SOMA;1
202201;050010210401 - HOSPITAL PABLO TOBON URIBE;13
202202;050010210401 - HOSPITAL PABLO TOBON URIBE;4
202203;050010210401 - HOSPITAL PABLO TOBON URIBE;11
202204;050010210401 - HOSPITAL PABLO TOBON URIBE;11
202205;050010210401 - HOSPITAL PABLO TOBON URIBE;25
202206;050010210401 - HOSPITAL PABLO TOBON URIBE;2
202204;050010210402 - HOSPITAL PABLO TOBÓN URIBE SEDE POBLADO;1
202201;050010211001 - CLINICA CARDIO VID;4
202202;050010211001 - CLINICA CARDIO VID;3
202203;050010211001 - CLINICA CARDIO VID;3
202204;050010211001 - CLINICA CARDIO VID;3
202205;050010211001 - CLINICA CARDIO VID;5
202206;050010211001 - CLINICA CARDIO VID;4
202201;050010212001 - INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;4
202202;050010212001 - INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;7
202203;050010212001 - INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;10
202204;050010212001 - INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;9
202205;050010212001 - INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;12
202206;050010212001 - INVERSIONES MEDICAS DE ANTIOQUIA S.A. CLINICA LAS VEGAS;5
202201;050010212401 - CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;10
202202;050010212401 - CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;9
202203;050010212401 - CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;9
202204;050010212401 - CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;8
202205;050010212401 - CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;9
202206;050010212401 - CORPORACIÓN PARA ESTUDIOS EN SALUD CLINICA CES;3
202201;050010212601 - CLÍNICA LAS AMERICAS;3
202202;050010212601 - CLÍNICA LAS AMERICAS;2
202203;050010212601 - CLÍNICA LAS AMERICAS;3
202205;050010212601 - CLÍNICA LAS AMERICAS;1
202201;050010214401 - HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;5
202202;050010214401 - HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;5
202203;050010214401 - HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;8
202204;050010214401 - HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;12
202205;050010214401 - HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;12
202206;050010214401 - HOSPITAL GENERAL DE MEDELLÍN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO;5
202201;050010217203 - CLINICA MEDELLIN OCCIDENTE;8
202202;050010217203 - CLINICA MEDELLIN OCCIDENTE;2
202203;050010217203 - CLINICA MEDELLIN OCCIDENTE;4
202204;050010217203 - CLINICA MEDELLIN OCCIDENTE;4
202205;050010217203 - CLINICA MEDELLIN OCCIDENTE;5
202206;050010217203 - CLINICA MEDELLIN OCCIDENTE;5
202201;050010217501 - FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;9
202202;050010217501 - FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;11
202203;050010217501 - FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;12
202204;050010217501 - FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;10
202205;050010217501 - FUNDACION HOSPITALARIA SAN VICENTE DE PAUL;14
202205;050010217801 - SEDE ADMINISTRATIVA EDIFICIO SACATIN;2
202204;050010217809 - UNIDAD HOSPITALARIA SAN JAVIER JESÚS PELÁEZ BOTERO;1
202202;050010242101 - DEPARTAMENTO DE RADIOLOGIA S.A;1
202204;050010251401 - CENTRO DE MEDICINA DEL EJERCICIO Y REHABILITACION CARDIACA S A CEMDE S A;1
202205;050010329301 - CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES;3
202206;050010329301 - CLINICA DE CIRUGIA AMBULATORIA CONQUISTADORES;2
202201;050010344803 - CLINICA UNIVERSITARIA BOLIVARIANA;1
202202;050010344803 - CLINICA UNIVERSITARIA BOLIVARIANA;1
202204;050010344803 - CLINICA UNIVERSITARIA BOLIVARIANA;2
202205;050010344803 - CLINICA UNIVERSITARIA BOLIVARIANA;3
202203;050010346801 - ESCANOGRAFÍA NEUROLÓGICA S.A;4
202204;050010346801 - ESCANOGRAFÍA NEUROLÓGICA S.A;12
202205;050010346801 - ESCANOGRAFÍA NEUROLÓGICA S.A;2
202201;050010379501 - INSTITUTO CARDIOVASCULAR Y DE ESTUDIOS ESPECIALES LAS VEGAS;1
202202;050010379501 - INSTITUTO CARDIOVASCULAR Y DE ESTUDIOS ESPECIALES LAS VEGAS;1
202206;050010396901 - LABORATORIO MEDICO ECHAVARRIA SEDE CENTRAL DE PROCESOS;1
202205;050010425911 - IPS SURA AGUACATALA MEDELLIN;1
202202;050010425913 - IPS SURA  CORDOBA MEDELLIN;2
202204;050010425913 - IPS SURA  CORDOBA MEDELLIN;1
202205;050010425913 - IPS SURA  CORDOBA MEDELLIN;1
202201;050010425923 - IPS SURA CENTRO MEDELLIN;2
202202;050010425923 - IPS SURA CENTRO MEDELLIN;1
202203;050010425923 - IPS SURA CENTRO MEDELLIN;4
202202;050010425936 - IPS SURA SAN DIEGO;3
202203;050010425936 - IPS SURA SAN DIEGO;1
202204;050010425936 - IPS SURA SAN DIEGO;1
202201;050010425937 - IPS CENTRO DE REHABILITACIÓN SURA MEDELLIN;8
202203;050010425937 - IPS CENTRO DE REHABILITACIÓN SURA MEDELLIN;1
202202;050010432402 - UNISALUD;1
202204;050010432402 - UNISALUD;2
202201;050010434702 - COOPERATIVA ANTIOQUEÑA DE SALUD SEDE ESTADIO;1
202202;050010434702 - COOPERATIVA ANTIOQUEÑA DE SALUD SEDE ESTADIO;2
