PeriodoNum;Prestadores_basicos;CantidadPacientes
201501;0 - NO DEFINIDO;4
201502;0 - NO DEFINIDO;1
201503;0 - NO DEFINIDO;27
201504;0 - NO DEFINIDO;59
201505;0 - NO DEFINIDO;4
201506;0 - NO DEFINIDO;26
201507;0 - NO DEFINIDO;3
201508;0 - NO DEFINIDO;3
201509;0 - NO DEFINIDO;1
201510;0 - NO DEFINIDO;1
201511;0 - NO DEFINIDO;2
201512;0 - NO DEFINIDO;6
201501;050010000201 - CRISTIAN DE JESUS CORREA CALLE;1
201502;050010000201 - CRISTIAN DE JESUS CORREA CALLE;1
201503;050010000201 - CRISTIAN DE JESUS CORREA CALLE;1
201505;050010000201 - CRISTIAN DE JESUS CORREA CALLE;4
201506;050010000201 - CRISTIAN DE JESUS CORREA CALLE;7
201507;050010000201 - CRISTIAN DE JESUS CORREA CALLE;8
201508;050010000201 - CRISTIAN DE JESUS CORREA CALLE;6
201511;050010000201 - CRISTIAN DE JESUS CORREA CALLE;2
201501;050010001201 - INSTITUTO DEL CORAZON;1
201504;050010001201 - INSTITUTO DEL CORAZON;1
201507;050010001201 - INSTITUTO DEL CORAZON;2
201509;050010001201 - INSTITUTO DEL CORAZON;1
201511;050010001201 - INSTITUTO DEL CORAZON;3
201512;050010001201 - INSTITUTO DEL CORAZON;2
201506;050010016501 - MARIO DE JESÚS GARCÍA TOBÓN;1
201503;050010016701 - REHABILITAMOS S.A.S;1
201505;050010039501 - CARLOS ARTURO RESTREPO JARAMILLO;1
201503;050010039701 - ANGELA  MARIA CALLE  LEMOS;1
201507;050010039701 - ANGELA  MARIA CALLE  LEMOS;2
201508;050010043901 - ANA MERCEDES LAVERDE GIRALDO;1
201508;050010049601 - REUMATOLOGYA S A;1
201501;050010099401 - JONNY LEON JIMENEZ YEPES;3
201502;050010104201 - CARLOS FELIPE TRUJOLLI TRUJILLO;1
201501;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;3
201502;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201503;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201504;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201505;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;4
201506;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201507;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201508;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201509;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;2
201503;0500101150 - FUNDACION INSTITUTO NEUROLOGICO DE COLOMBIA;1
201501;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;72
201502;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;67
201503;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;75
201504;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;60
201505;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;67
201506;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;88
201507;050010115001 - FUNDACIÓN INSTITUTO NEUROLOGICO DE COLOMBIA;94
