PeriodoNum;Prestadores_basicos;CantidadPacientes
201001;0 - NO DEFINIDO;6
201002;0 - NO DEFINIDO;2
201003;0 - NO DEFINIDO;5
201004;0 - NO DEFINIDO;5
201005;0 - NO DEFINIDO;3
201006;0 - NO DEFINIDO;6
201007;0 - NO DEFINIDO;4
201008;0 - NO DEFINIDO;10
201009;0 - NO DEFINIDO;3
201010;0 - NO DEFINIDO;1
201011;0 - NO DEFINIDO;1
201002;050010001201 - INSTITUTO DEL CORAZON;1
201003;050010001201 - INSTITUTO DEL CORAZON;1
201004;050010001201 - INSTITUTO DEL CORAZON;1
201006;050010001201 - INSTITUTO DEL CORAZON;1
201007;0500100121 - FRANCISCO JAVIER  MONSALVE;1
201004;050010016701 - REHABILITAMOS S.A.S;2
201003;050010038101 - LEONARDO  ARANGO ACOSTA;1
201011;050010047601 - JUAN GONZALO VELEZ TOBON;1
201002;050010047901 - MARCO ANTONIO ESCOBAR GOMEZ;1
201001;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;1
201002;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;1
201003;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;2
201004;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;4
201005;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;1
201006;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;3
201007;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;4
201008;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;1
201009;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;4
201010;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;4
201011;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;4
201012;050010065801 - DIAGNOSTICO Y ASISTENCIA MEDICA S.A IPS DE SALUD;4
201004;050010089201 - GUSTAVO ADOLFO CONSUEGRA RESTREPO;1
201007;050010094301 - alicia  cortes montoya;1
201002;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201003;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201004;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
201008;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;3
201009;050010113701 - ALFREDO IVAN MUÑOZ  BERRIO;1
