PeriodoNum;Administradora;CantidadPacientes
201601;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201602;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201603;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201604;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201605;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201606;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201607;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201608;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;6
201609;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;1
201610;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;3
201611;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201612;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;1
201601;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;2
201602;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201604;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201610;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201611;05148 - DIRECCION MUNICIPAL DE SALUD DE CARMEN D;1
201601;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201602;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201603;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201604;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201607;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201608;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201604;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201602;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;1
201603;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;1
201604;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;2
201605;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;3
201606;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201607;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201608;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;17
201609;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;10
201610;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;6
201611;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;8
201612;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201604;13-1 - COLSEGUROS S. A.;1
201605;13-1 - COLSEGUROS S. A.;1
201606;13-1 - COLSEGUROS S. A.;1
201607;13-1 - COLSEGUROS S. A.;1
201608;13-1 - COLSEGUROS S. A.;1
201609;13-1 - COLSEGUROS S. A.;1
201610;13-1 - COLSEGUROS S. A.;1
201601;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;6
201602;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201607;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;1
201609;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;2
201610;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;3
201612;13-17 - ASEG COMPAÑÍA MUNDIAL DE SEGUROS S.A.;4
201602;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201603;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;2
201604;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201605;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;2
201606;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201607;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;3
201608;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201610;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;4
201611;13-18 - ASEG COMPAÑÍA SURAMERICANA DE SEGUROS S.;1
201601;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
201603;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
201604;13-24 - LA PREVISORA S.A. COMPAÑIA DE SEGUROS;1
