PeriodoNum;Administradora;CantidadPacientes
201801;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;3
201802;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201803;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;6
201804;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201805;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;10
201806;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;5
201807;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;10
201808;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201809;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;6
201810;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;8
201811;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;4
201812;05000 - DIRECCION SECCIONAL DE SALUD  DE ANTIOQU;2
201809;05001 - SECRETARIA MUNICIPAL DE MEDELLIN;1
201801;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;1
201802;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;1
201807;05088 - DIRECCION LOCAL DE SALUD BELLO ANTIOQUIA;1
201804;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;2
201810;05266 - DIRECCION LOCAL DE SALUD DE ENVIGADO;1
201810;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201811;05360 - DIRECCION MUNICIPAL DE SALUD DE ITAGUI;1
201801;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201802;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;2
201805;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;2
201806;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201810;08000 - DIRECCION SECCIONAL DE SALUD DEL ATLANTI;1
201801;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;8
201802;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201803;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
201804;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;8
201805;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;14
201806;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;11
201807;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;6
201808;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;5
201809;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;7
201810;11001 - DIRECCIÓN DISTRITAL DE SALUD DE BOGOTÁ;12
