PeriodoNum;SeguridadSocial;CantidadPacientes
201101;0 - NO DEFINIDO;3
201102;0 - NO DEFINIDO;2
201103;0 - NO DEFINIDO;2
201104;0 - NO DEFINIDO;2
201105;0 - NO DEFINIDO;1
201106;0 - NO DEFINIDO;2
201107;0 - NO DEFINIDO;3
201108;0 - NO DEFINIDO;1
201109;0 - NO DEFINIDO;3
201110;0 - NO DEFINIDO;1
201111;0 - NO DEFINIDO;1
201112;0 - NO DEFINIDO;4
201101;1 - CONTRIBUTIVO;910
201102;1 - CONTRIBUTIVO;965
201103;1 - CONTRIBUTIVO;954
201104;1 - CONTRIBUTIVO;570
201105;1 - CONTRIBUTIVO;1007
201106;1 - CONTRIBUTIVO;959
201107;1 - CONTRIBUTIVO;894
201108;1 - CONTRIBUTIVO;993
201109;1 - CONTRIBUTIVO;914
201110;1 - CONTRIBUTIVO;581
201111;1 - CONTRIBUTIVO;713
201112;1 - CONTRIBUTIVO;796
201101;2 - SUBSIDIADO;353
201102;2 - SUBSIDIADO;312
201103;2 - SUBSIDIADO;346
201104;2 - SUBSIDIADO;300
201105;2 - SUBSIDIADO;310
201106;2 - SUBSIDIADO;310
201107;2 - SUBSIDIADO;291
201108;2 - SUBSIDIADO;257
201109;2 - SUBSIDIADO;328
201110;2 - SUBSIDIADO;346
201111;2 - SUBSIDIADO;343
201112;2 - SUBSIDIADO;316
201101;3 - VINCULADO;62
201102;3 - VINCULADO;74
201103;3 - VINCULADO;70
201104;3 - VINCULADO;81
201105;3 - VINCULADO;71
201106;3 - VINCULADO;73
201107;3 - VINCULADO;67
201108;3 - VINCULADO;62
201109;3 - VINCULADO;58
201110;3 - VINCULADO;71
201111;3 - VINCULADO;58
201112;3 - VINCULADO;76
201101;4 - PARTICULAR;8
201102;4 - PARTICULAR;17
201103;4 - PARTICULAR;12
201104;4 - PARTICULAR;14
201105;4 - PARTICULAR;10
201106;4 - PARTICULAR;6
201107;4 - PARTICULAR;25
201108;4 - PARTICULAR;18
201109;4 - PARTICULAR;14
201110;4 - PARTICULAR;20
201111;4 - PARTICULAR;8
201112;4 - PARTICULAR;9
201101;5 - OTRO;51
201102;5 - OTRO;60
201103;5 - OTRO;45
201104;5 - OTRO;32
201105;5 - OTRO;50
201106;5 - OTRO;49
201107;5 - OTRO;30
201108;5 - OTRO;43
201109;5 - OTRO;53
201110;5 - OTRO;51
201111;5 - OTRO;68
201112;5 - OTRO;35
201102;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;3
201104;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201105;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;2
201107;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201108;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201109;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;3
201110;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201111;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201101;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201102;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201103;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201104;8 - DESPLAZADO NO ASEGURADO O VINCULADO;4
201105;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201106;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201107;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201108;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201109;8 - DESPLAZADO NO ASEGURADO O VINCULADO;7
201110;8 - DESPLAZADO NO ASEGURADO O VINCULADO;6
201111;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201112;8 - DESPLAZADO NO ASEGURADO O VINCULADO;4
