PeriodoNum;SeguridadSocial;CantidadPacientes
201201;0 - NO DEFINIDO;14
201202;0 - NO DEFINIDO;5
201203;0 - NO DEFINIDO;12
201204;0 - NO DEFINIDO;5
201205;0 - NO DEFINIDO;9
201206;0 - NO DEFINIDO;4
201207;0 - NO DEFINIDO;7
201208;0 - NO DEFINIDO;9
201209;0 - NO DEFINIDO;11
201210;0 - NO DEFINIDO;13
201211;0 - NO DEFINIDO;13
201212;0 - NO DEFINIDO;15
201201;1 - CONTRIBUTIVO;1047
201202;1 - CONTRIBUTIVO;921
201203;1 - CONTRIBUTIVO;938
201204;1 - CONTRIBUTIVO;838
201205;1 - CONTRIBUTIVO;988
201206;1 - CONTRIBUTIVO;778
201207;1 - CONTRIBUTIVO;836
201208;1 - CONTRIBUTIVO;829
201209;1 - CONTRIBUTIVO;888
201210;1 - CONTRIBUTIVO;1006
201211;1 - CONTRIBUTIVO;788
201212;1 - CONTRIBUTIVO;918
201201;2 - SUBSIDIADO;446
201202;2 - SUBSIDIADO;447
201203;2 - SUBSIDIADO;435
201204;2 - SUBSIDIADO;448
201205;2 - SUBSIDIADO;498
201206;2 - SUBSIDIADO;397
201207;2 - SUBSIDIADO;402
201208;2 - SUBSIDIADO;428
201209;2 - SUBSIDIADO;427
201210;2 - SUBSIDIADO;451
201211;2 - SUBSIDIADO;399
201212;2 - SUBSIDIADO;357
201201;3 - VINCULADO;79
201202;3 - VINCULADO;61
201203;3 - VINCULADO;68
201204;3 - VINCULADO;76
201205;3 - VINCULADO;65
201206;3 - VINCULADO;73
201207;3 - VINCULADO;53
201208;3 - VINCULADO;57
201209;3 - VINCULADO;44
201210;3 - VINCULADO;60
201211;3 - VINCULADO;50
201212;3 - VINCULADO;48
201201;4 - PARTICULAR;12
201202;4 - PARTICULAR;20
201203;4 - PARTICULAR;23
201204;4 - PARTICULAR;21
201205;4 - PARTICULAR;26
201206;4 - PARTICULAR;10
201207;4 - PARTICULAR;19
201208;4 - PARTICULAR;23
201209;4 - PARTICULAR;7
201210;4 - PARTICULAR;10
201211;4 - PARTICULAR;20
201212;4 - PARTICULAR;3
201201;5 - OTRO;49
201202;5 - OTRO;49
201203;5 - OTRO;42
201204;5 - OTRO;36
201205;5 - OTRO;50
201206;5 - OTRO;44
201207;5 - OTRO;56
201208;5 - OTRO;61
201209;5 - OTRO;51
201210;5 - OTRO;46
201211;5 - OTRO;57
201212;5 - OTRO;56
201201;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;2
201202;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201209;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201201;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;3
201203;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201204;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;3
201205;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201206;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201209;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201201;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201202;8 - DESPLAZADO NO ASEGURADO O VINCULADO;7
201203;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201204;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201205;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201206;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201207;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201208;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201209;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201210;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201211;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201212;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
