PeriodoNum;SeguridadSocial;CantidadPacientes
201501;0 - NO DEFINIDO;1
201502;0 - NO DEFINIDO;3
201503;0 - NO DEFINIDO;4
201504;0 - NO DEFINIDO;3
201505;0 - NO DEFINIDO;3
201506;0 - NO DEFINIDO;3
201507;0 - NO DEFINIDO;5
201508;0 - NO DEFINIDO;13
201509;0 - NO DEFINIDO;10
201510;0 - NO DEFINIDO;11
201511;0 - NO DEFINIDO;10
201512;0 - NO DEFINIDO;31
201501;1 - CONTRIBUTIVO;1335
201502;1 - CONTRIBUTIVO;659
201503;1 - CONTRIBUTIVO;1231
201504;1 - CONTRIBUTIVO;1323
201505;1 - CONTRIBUTIVO;1126
201506;1 - CONTRIBUTIVO;942
201507;1 - CONTRIBUTIVO;1009
201508;1 - CONTRIBUTIVO;638
201509;1 - CONTRIBUTIVO;605
201510;1 - CONTRIBUTIVO;466
201511;1 - CONTRIBUTIVO;504
201512;1 - CONTRIBUTIVO;699
201501;2 - SUBSIDIADO;834
201502;2 - SUBSIDIADO;732
201503;2 - SUBSIDIADO;729
201504;2 - SUBSIDIADO;775
201505;2 - SUBSIDIADO;858
201506;2 - SUBSIDIADO;796
201507;2 - SUBSIDIADO;855
201508;2 - SUBSIDIADO;658
201509;2 - SUBSIDIADO;608
201510;2 - SUBSIDIADO;545
201511;2 - SUBSIDIADO;578
201512;2 - SUBSIDIADO;522
201501;3 - VINCULADO;28
201502;3 - VINCULADO;29
201503;3 - VINCULADO;20
201504;3 - VINCULADO;19
201505;3 - VINCULADO;29
201506;3 - VINCULADO;47
201507;3 - VINCULADO;44
201508;3 - VINCULADO;44
201509;3 - VINCULADO;37
201510;3 - VINCULADO;17
201511;3 - VINCULADO;15
201512;3 - VINCULADO;23
201501;4 - PARTICULAR;36
201502;4 - PARTICULAR;27
201503;4 - PARTICULAR;31
201504;4 - PARTICULAR;32
201505;4 - PARTICULAR;30
201506;4 - PARTICULAR;17
201507;4 - PARTICULAR;35
201508;4 - PARTICULAR;44
201509;4 - PARTICULAR;33
201510;4 - PARTICULAR;10
201511;4 - PARTICULAR;24
201512;4 - PARTICULAR;38
201501;5 - OTRO;58
201502;5 - OTRO;43
201503;5 - OTRO;53
201504;5 - OTRO;69
201505;5 - OTRO;72
201506;5 - OTRO;77
201507;5 - OTRO;68
201508;5 - OTRO;78
201509;5 - OTRO;67
201510;5 - OTRO;39
201511;5 - OTRO;45
201512;5 - OTRO;41
201501;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201502;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;4
201503;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201504;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201505;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201509;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201504;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201505;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201512;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201503;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201504;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201505;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201506;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201507;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201508;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201512;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
