PeriodoNum;SeguridadSocial;CantidadPacientes
202101;1 - CONTRIBUTIVO;833
202102;1 - CONTRIBUTIVO;1417
202103;1 - CONTRIBUTIVO;1575
202104;1 - CONTRIBUTIVO;1510
202105;1 - CONTRIBUTIVO;1667
202106;1 - CONTRIBUTIVO;1869
202107;1 - CONTRIBUTIVO;1810
202108;1 - CONTRIBUTIVO;1891
202109;1 - CONTRIBUTIVO;2129
202110;1 - CONTRIBUTIVO;1495
202111;1 - CONTRIBUTIVO;1526
202112;1 - CONTRIBUTIVO;1730
202101;2 - SUBSIDIADO;928
202102;2 - SUBSIDIADO;1092
202103;2 - SUBSIDIADO;1284
202104;2 - SUBSIDIADO;1091
202105;2 - SUBSIDIADO;1149
202106;2 - SUBSIDIADO;1132
202107;2 - SUBSIDIADO;1079
202108;2 - SUBSIDIADO;1134
202109;2 - SUBSIDIADO;964
202110;2 - SUBSIDIADO;880
202111;2 - SUBSIDIADO;993
202112;2 - SUBSIDIADO;840
202101;3 - VINCULADO;26
202102;3 - VINCULADO;38
202103;3 - VINCULADO;41
202104;3 - VINCULADO;32
202105;3 - VINCULADO;25
202106;3 - VINCULADO;35
202107;3 - VINCULADO;17
202108;3 - VINCULADO;31
202109;3 - VINCULADO;38
202110;3 - VINCULADO;39
202111;3 - VINCULADO;34
202112;3 - VINCULADO;27
202101;4 - PARTICULAR;21
202102;4 - PARTICULAR;44
202103;4 - PARTICULAR;47
202104;4 - PARTICULAR;41
202105;4 - PARTICULAR;45
202106;4 - PARTICULAR;38
202107;4 - PARTICULAR;40
202108;4 - PARTICULAR;36
202109;4 - PARTICULAR;43
202110;4 - PARTICULAR;47
202111;4 - PARTICULAR;45
202112;4 - PARTICULAR;37
202101;5 - OTRO;31
202102;5 - OTRO;122
202103;5 - OTRO;127
202104;5 - OTRO;117
202105;5 - OTRO;104
202106;5 - OTRO;126
202107;5 - OTRO;150
202108;5 - OTRO;58
202109;5 - OTRO;68
202110;5 - OTRO;62
202111;5 - OTRO;152
202112;5 - OTRO;76
202101;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;7
202102;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;4
202103;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;9
202104;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;4
202105;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;7
202106;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;7
202107;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;3
202108;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;3
202109;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;10
202110;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;9
202111;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;3
202112;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;5
202102;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
202107;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
202112;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
