PeriodoNum;SeguridadSocial;CantidadPacientes
201601;0 - NO DEFINIDO;30
201602;0 - NO DEFINIDO;20
201604;0 - NO DEFINIDO;6
201606;0 - NO DEFINIDO;2
201607;0 - NO DEFINIDO;1
201608;0 - NO DEFINIDO;3
201609;0 - NO DEFINIDO;5
201610;0 - NO DEFINIDO;5
201611;0 - NO DEFINIDO;8
201612;0 - NO DEFINIDO;2
201601;1 - CONTRIBUTIVO;830
201602;1 - CONTRIBUTIVO;747
201603;1 - CONTRIBUTIVO;661
201604;1 - CONTRIBUTIVO;921
201605;1 - CONTRIBUTIVO;732
201606;1 - CONTRIBUTIVO;549
201607;1 - CONTRIBUTIVO;548
201608;1 - CONTRIBUTIVO;723
201609;1 - CONTRIBUTIVO;786
201610;1 - CONTRIBUTIVO;729
201611;1 - CONTRIBUTIVO;647
201612;1 - CONTRIBUTIVO;635
201601;2 - SUBSIDIADO;533
201602;2 - SUBSIDIADO;579
201603;2 - SUBSIDIADO;615
201604;2 - SUBSIDIADO;715
201605;2 - SUBSIDIADO;644
201606;2 - SUBSIDIADO;587
201607;2 - SUBSIDIADO;610
201608;2 - SUBSIDIADO;684
201609;2 - SUBSIDIADO;702
201610;2 - SUBSIDIADO;622
201611;2 - SUBSIDIADO;570
201612;2 - SUBSIDIADO;492
201601;3 - VINCULADO;19
201602;3 - VINCULADO;10
201603;3 - VINCULADO;18
201604;3 - VINCULADO;21
201605;3 - VINCULADO;20
201606;3 - VINCULADO;30
201607;3 - VINCULADO;26
201608;3 - VINCULADO;25
201609;3 - VINCULADO;15
201610;3 - VINCULADO;18
201611;3 - VINCULADO;21
201612;3 - VINCULADO;14
201601;4 - PARTICULAR;37
201602;4 - PARTICULAR;33
201603;4 - PARTICULAR;36
201604;4 - PARTICULAR;32
201605;4 - PARTICULAR;28
201606;4 - PARTICULAR;33
201607;4 - PARTICULAR;32
201608;4 - PARTICULAR;38
201609;4 - PARTICULAR;35
201610;4 - PARTICULAR;26
201611;4 - PARTICULAR;21
201612;4 - PARTICULAR;22
201601;5 - OTRO;47
201602;5 - OTRO;45
201603;5 - OTRO;40
201604;5 - OTRO;47
201605;5 - OTRO;34
201606;5 - OTRO;45
201607;5 - OTRO;41
201608;5 - OTRO;36
201609;5 - OTRO;33
201610;5 - OTRO;29
201611;5 - OTRO;34
201612;5 - OTRO;62
201601;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201604;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201608;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201603;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201606;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201607;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201608;8 - DESPLAZADO NO ASEGURADO O VINCULADO;5
201609;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201611;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
