PeriodoNum;SeguridadSocial;CantidadPacientes
201903;0 - NO DEFINIDO;1
201904;0 - NO DEFINIDO;1
201906;0 - NO DEFINIDO;1
201907;0 - NO DEFINIDO;1
201901;1 - CONTRIBUTIVO;1543
201902;1 - CONTRIBUTIVO;1648
201903;1 - CONTRIBUTIVO;1807
201904;1 - CONTRIBUTIVO;1867
201905;1 - CONTRIBUTIVO;1796
201906;1 - CONTRIBUTIVO;1709
201907;1 - CONTRIBUTIVO;1944
201908;1 - CONTRIBUTIVO;1888
201909;1 - CONTRIBUTIVO;1910
201910;1 - CONTRIBUTIVO;2039
201911;1 - CONTRIBUTIVO;1909
201912;1 - CONTRIBUTIVO;1489
201901;2 - SUBSIDIADO;1173
201902;2 - SUBSIDIADO;1197
201903;2 - SUBSIDIADO;1281
201904;2 - SUBSIDIADO;1355
201905;2 - SUBSIDIADO;1423
201906;2 - SUBSIDIADO;1317
201907;2 - SUBSIDIADO;2024
201908;2 - SUBSIDIADO;2011
201909;2 - SUBSIDIADO;2481
201910;2 - SUBSIDIADO;2026
201911;2 - SUBSIDIADO;1603
201912;2 - SUBSIDIADO;1990
201901;3 - VINCULADO;31
201902;3 - VINCULADO;35
201903;3 - VINCULADO;30
201904;3 - VINCULADO;28
201905;3 - VINCULADO;25
201906;3 - VINCULADO;37
201907;3 - VINCULADO;32
201908;3 - VINCULADO;43
201909;3 - VINCULADO;22
201910;3 - VINCULADO;21
201911;3 - VINCULADO;28
201912;3 - VINCULADO;40
201901;4 - PARTICULAR;34
201902;4 - PARTICULAR;35
201903;4 - PARTICULAR;45
201904;4 - PARTICULAR;40
201905;4 - PARTICULAR;33
201906;4 - PARTICULAR;29
201907;4 - PARTICULAR;41
201908;4 - PARTICULAR;37
201909;4 - PARTICULAR;43
201910;4 - PARTICULAR;40
201911;4 - PARTICULAR;34
201912;4 - PARTICULAR;30
201901;5 - OTRO;46
201902;5 - OTRO;86
201903;5 - OTRO;79
201904;5 - OTRO;94
201905;5 - OTRO;119
201906;5 - OTRO;157
201907;5 - OTRO;141
201908;5 - OTRO;126
201909;5 - OTRO;86
201910;5 - OTRO;62
201911;5 - OTRO;86
201912;5 - OTRO;70
201903;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201904;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201903;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201906;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201907;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201910;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201905;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201909;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201910;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
