PeriodoNum;SeguridadSocial;CantidadPacientes
201801;1 - CONTRIBUTIVO;1121
201802;1 - CONTRIBUTIVO;1360
201803;1 - CONTRIBUTIVO;1386
201804;1 - CONTRIBUTIVO;1430
201805;1 - CONTRIBUTIVO;1386
201806;1 - CONTRIBUTIVO;1125
201807;1 - CONTRIBUTIVO;1057
201808;1 - CONTRIBUTIVO;1201
201809;1 - CONTRIBUTIVO;1376
201810;1 - CONTRIBUTIVO;1614
201811;1 - CONTRIBUTIVO;1669
201812;1 - CONTRIBUTIVO;1374
201801;2 - SUBSIDIADO;812
201802;2 - SUBSIDIADO;705
201803;2 - SUBSIDIADO;717
201804;2 - SUBSIDIADO;788
201805;2 - SUBSIDIADO;840
201806;2 - SUBSIDIADO;779
201807;2 - SUBSIDIADO;781
201808;2 - SUBSIDIADO;822
201809;2 - SUBSIDIADO;862
201810;2 - SUBSIDIADO;1016
201811;2 - SUBSIDIADO;1040
201812;2 - SUBSIDIADO;1022
201801;3 - VINCULADO;27
201802;3 - VINCULADO;25
201803;3 - VINCULADO;27
201804;3 - VINCULADO;38
201805;3 - VINCULADO;47
201806;3 - VINCULADO;30
201807;3 - VINCULADO;24
201808;3 - VINCULADO;24
201809;3 - VINCULADO;30
201810;3 - VINCULADO;30
201811;3 - VINCULADO;28
201812;3 - VINCULADO;18
201801;4 - PARTICULAR;22
201802;4 - PARTICULAR;29
201803;4 - PARTICULAR;41
201804;4 - PARTICULAR;22
201805;4 - PARTICULAR;30
201806;4 - PARTICULAR;27
201807;4 - PARTICULAR;29
201808;4 - PARTICULAR;28
201809;4 - PARTICULAR;24
201810;4 - PARTICULAR;32
201811;4 - PARTICULAR;36
201812;4 - PARTICULAR;25
201801;5 - OTRO;52
201802;5 - OTRO;46
201803;5 - OTRO;81
201804;5 - OTRO;75
201805;5 - OTRO;51
201806;5 - OTRO;64
201807;5 - OTRO;70
201808;5 - OTRO;53
201809;5 - OTRO;60
201810;5 - OTRO;104
201811;5 - OTRO;120
201812;5 - OTRO;75
201803;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201805;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201808;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;2
201802;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201803;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201812;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
