PeriodoNum;SeguridadSocial;CantidadPacientes
201701;0 - NO DEFINIDO;2
201703;0 - NO DEFINIDO;3
201704;0 - NO DEFINIDO;3
201705;0 - NO DEFINIDO;2
201706;0 - NO DEFINIDO;4
201707;0 - NO DEFINIDO;4
201708;0 - NO DEFINIDO;2
201709;0 - NO DEFINIDO;1
201701;1 - CONTRIBUTIVO;769
201702;1 - CONTRIBUTIVO;671
201703;1 - CONTRIBUTIVO;845
201704;1 - CONTRIBUTIVO;937
201705;1 - CONTRIBUTIVO;1129
201706;1 - CONTRIBUTIVO;1125
201707;1 - CONTRIBUTIVO;997
201708;1 - CONTRIBUTIVO;1186
201709;1 - CONTRIBUTIVO;1260
201710;1 - CONTRIBUTIVO;2536
201711;1 - CONTRIBUTIVO;11234
201712;1 - CONTRIBUTIVO;1006
201701;2 - SUBSIDIADO;515
201702;2 - SUBSIDIADO;619
201703;2 - SUBSIDIADO;576
201704;2 - SUBSIDIADO;593
201705;2 - SUBSIDIADO;767
201706;2 - SUBSIDIADO;782
201707;2 - SUBSIDIADO;864
201708;2 - SUBSIDIADO;883
201709;2 - SUBSIDIADO;883
201710;2 - SUBSIDIADO;932
201711;2 - SUBSIDIADO;910
201712;2 - SUBSIDIADO;794
201701;3 - VINCULADO;24
201702;3 - VINCULADO;27
201703;3 - VINCULADO;20
201704;3 - VINCULADO;27
201705;3 - VINCULADO;21
201706;3 - VINCULADO;27
201707;3 - VINCULADO;19
201708;3 - VINCULADO;19
201709;3 - VINCULADO;20
201710;3 - VINCULADO;22
201711;3 - VINCULADO;13
201712;3 - VINCULADO;11
201701;4 - PARTICULAR;20
201702;4 - PARTICULAR;36
201703;4 - PARTICULAR;32
201704;4 - PARTICULAR;30
201705;4 - PARTICULAR;58
201706;4 - PARTICULAR;46
201707;4 - PARTICULAR;42
201708;4 - PARTICULAR;45
201709;4 - PARTICULAR;30
201710;4 - PARTICULAR;14
201711;4 - PARTICULAR;25
201712;4 - PARTICULAR;19
201701;5 - OTRO;36
201702;5 - OTRO;27
201703;5 - OTRO;21
201704;5 - OTRO;27
201705;5 - OTRO;31
201706;5 - OTRO;40
201707;5 - OTRO;37
201708;5 - OTRO;35
201709;5 - OTRO;24
201710;5 - OTRO;27
201711;5 - OTRO;32
201712;5 - OTRO;24
201703;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;2
201704;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201708;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;2
201710;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;3
201711;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201712;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201701;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201708;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201710;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201711;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201701;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201704;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
