PeriodoNum;SeguridadSocial;CantidadPacientes
201001;0 - NO DEFINIDO;2
201002;0 - NO DEFINIDO;2
201003;0 - NO DEFINIDO;2
201004;0 - NO DEFINIDO;3
201005;0 - NO DEFINIDO;3
201006;0 - NO DEFINIDO;2
201008;0 - NO DEFINIDO;3
201009;0 - NO DEFINIDO;2
201010;0 - NO DEFINIDO;2
201011;0 - NO DEFINIDO;4
201012;0 - NO DEFINIDO;3
201001;1 - CONTRIBUTIVO;542
201002;1 - CONTRIBUTIVO;627
201003;1 - CONTRIBUTIVO;648
201004;1 - CONTRIBUTIVO;786
201005;1 - CONTRIBUTIVO;759
201006;1 - CONTRIBUTIVO;743
201007;1 - CONTRIBUTIVO;806
201008;1 - CONTRIBUTIVO;690
201009;1 - CONTRIBUTIVO;711
201010;1 - CONTRIBUTIVO;506
201011;1 - CONTRIBUTIVO;457
201012;1 - CONTRIBUTIVO;443
201001;2 - SUBSIDIADO;273
201002;2 - SUBSIDIADO;208
201003;2 - SUBSIDIADO;260
201004;2 - SUBSIDIADO;210
201005;2 - SUBSIDIADO;242
201006;2 - SUBSIDIADO;222
201007;2 - SUBSIDIADO;201
201008;2 - SUBSIDIADO;215
201009;2 - SUBSIDIADO;232
201010;2 - SUBSIDIADO;282
201011;2 - SUBSIDIADO;215
201012;2 - SUBSIDIADO;207
201001;3 - VINCULADO;59
201002;3 - VINCULADO;63
201003;3 - VINCULADO;52
201004;3 - VINCULADO;45
201005;3 - VINCULADO;47
201006;3 - VINCULADO;45
201007;3 - VINCULADO;47
201008;3 - VINCULADO;45
201009;3 - VINCULADO;49
201010;3 - VINCULADO;32
201011;3 - VINCULADO;50
201012;3 - VINCULADO;26
201001;4 - PARTICULAR;4
201002;4 - PARTICULAR;9
201003;4 - PARTICULAR;7
201004;4 - PARTICULAR;12
201005;4 - PARTICULAR;7
201006;4 - PARTICULAR;15
201007;4 - PARTICULAR;8
201008;4 - PARTICULAR;10
201009;4 - PARTICULAR;15
201010;4 - PARTICULAR;4
201011;4 - PARTICULAR;14
201012;4 - PARTICULAR;8
201001;5 - OTRO;39
201002;5 - OTRO;43
201003;5 - OTRO;53
201004;5 - OTRO;41
201005;5 - OTRO;43
201006;5 - OTRO;49
201007;5 - OTRO;42
201008;5 - OTRO;29
201009;5 - OTRO;27
201010;5 - OTRO;25
201011;5 - OTRO;16
201012;5 - OTRO;28
201002;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201006;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201008;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201009;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201010;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201002;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201005;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201006;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201010;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201012;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201001;8 - DESPLAZADO NO ASEGURADO O VINCULADO;4
201002;8 - DESPLAZADO NO ASEGURADO O VINCULADO;8
201003;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201005;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201006;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201011;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
