PeriodoNum;SeguridadSocial;CantidadPacientes
201401;0 - NO DEFINIDO;54
201402;0 - NO DEFINIDO;44
201403;0 - NO DEFINIDO;67
201404;0 - NO DEFINIDO;34
201405;0 - NO DEFINIDO;9
201407;0 - NO DEFINIDO;1
201408;0 - NO DEFINIDO;1
201409;0 - NO DEFINIDO;1
201401;1 - CONTRIBUTIVO;818
201402;1 - CONTRIBUTIVO;880
201403;1 - CONTRIBUTIVO;883
201404;1 - CONTRIBUTIVO;885
201405;1 - CONTRIBUTIVO;1054
201406;1 - CONTRIBUTIVO;916
201407;1 - CONTRIBUTIVO;1104
201408;1 - CONTRIBUTIVO;1144
201409;1 - CONTRIBUTIVO;1175
201410;1 - CONTRIBUTIVO;1178
201411;1 - CONTRIBUTIVO;1089
201412;1 - CONTRIBUTIVO;1232
201401;2 - SUBSIDIADO;625
201402;2 - SUBSIDIADO;682
201403;2 - SUBSIDIADO;740
201404;2 - SUBSIDIADO;734
201405;2 - SUBSIDIADO;705
201406;2 - SUBSIDIADO;754
201407;2 - SUBSIDIADO;859
201408;2 - SUBSIDIADO;838
201409;2 - SUBSIDIADO;794
201410;2 - SUBSIDIADO;768
201411;2 - SUBSIDIADO;813
201412;2 - SUBSIDIADO;715
201401;3 - VINCULADO;57
201402;3 - VINCULADO;31
201403;3 - VINCULADO;48
201404;3 - VINCULADO;60
201405;3 - VINCULADO;38
201406;3 - VINCULADO;22
201407;3 - VINCULADO;21
201408;3 - VINCULADO;29
201409;3 - VINCULADO;31
201410;3 - VINCULADO;17
201411;3 - VINCULADO;25
201412;3 - VINCULADO;33
201401;4 - PARTICULAR;20
201402;4 - PARTICULAR;27
201403;4 - PARTICULAR;20
201404;4 - PARTICULAR;25
201405;4 - PARTICULAR;27
201406;4 - PARTICULAR;18
201407;4 - PARTICULAR;26
201408;4 - PARTICULAR;11
201409;4 - PARTICULAR;20
201410;4 - PARTICULAR;26
201411;4 - PARTICULAR;26
201412;4 - PARTICULAR;17
201401;5 - OTRO;32
201402;5 - OTRO;31
201403;5 - OTRO;26
201404;5 - OTRO;26
201405;5 - OTRO;36
201406;5 - OTRO;37
201407;5 - OTRO;41
201408;5 - OTRO;34
201409;5 - OTRO;62
201410;5 - OTRO;48
201411;5 - OTRO;46
201412;5 - OTRO;49
201407;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201411;6 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN CONTRIBUTIVO;1
201405;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201406;7 - DESPLAZADO CON AFILIACIÓN A RÉGIMEN SUBSIDIADO;1
201401;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201403;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201404;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201405;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201406;8 - DESPLAZADO NO ASEGURADO O VINCULADO;3
201407;8 - DESPLAZADO NO ASEGURADO O VINCULADO;1
201411;8 - DESPLAZADO NO ASEGURADO O VINCULADO;2
201412;8 - DESPLAZADO NO ASEGURADO O VINCULADO;5
